epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,346.996,1.87916,1.98688,1.51037,0.73363,0.61096,0.64656,0.29316,1.88375,1.36417,1.41563,0.00332664,0.00332664,0.00332664
2,690.028,1.83863,1.57195,1.49095,0.73945,0.60449,0.65721,0.27108,2.01909,1.44984,1.60111,0.00659404,0.00659404,0.00659404
3,1030.94,2.0102,1.83382,1.61159,0.48616,0.38573,0.36661,0.14126,2.21867,2.07718,1.83685,0.00979544,0.00979544,0.00979544
4,1370.93,2.11425,1.9822,1.73577,0.55835,0.47354,0.4608,0.18355,2.071,2.09692,1.71894,0.009703,0.009703,0.009703
5,1710.58,2.05178,1.84487,1.72559,0.59674,0.496,0.51376,0.22049,2.0208,1.70648,1.69337,0.009604,0.009604,0.009604
6,2050.03,1.9892,1.75871,1.69754,0.64871,0.55044,0.55935,0.24482,1.90756,1.6467,1.67016,0.009505,0.009505,0.009505
7,2388.96,1.93236,1.6549,1.66696,0.62638,0.59383,0.59344,0.27877,1.8118,1.54905,1.59357,0.009406,0.009406,0.009406
8,2727.63,1.89421,1.5986,1.63379,0.68391,0.5716,0.60236,0.27704,1.82381,1.53749,1.62202,0.009307,0.009307,0.009307
9,3066.46,1.86223,1.52777,1.60666,0.75222,0.64104,0.685,0.33409,1.80268,1.33726,1.60127,0.009208,0.009208,0.009208
10,3405.55,1.83866,1.48893,1.5874,0.70372,0.58408,0.6383,0.29493,1.86908,1.44282,1.63,0.009109,0.009109,0.009109
11,3744.59,1.8207,1.48887,1.57925,0.75167,0.64294,0.69221,0.34706,1.72425,1.34933,1.52627,0.00901,0.00901,0.00901
12,4083.81,1.78431,1.41169,1.54305,0.74694,0.62885,0.69213,0.3434,1.7795,1.32048,1.54571,0.008911,0.008911,0.008911
13,4422.42,1.7815,1.37963,1.54804,0.79711,0.66388,0.72399,0.36794,1.75459,1.24777,1.5375,0.008812,0.008812,0.008812
14,4761.72,1.74497,1.35326,1.53478,0.7487,0.63,0.69388,0.35679,1.68956,1.27632,1.53518,0.008713,0.008713,0.008713
15,5101.01,1.74022,1.32912,1.53278,0.79404,0.67214,0.74368,0.38827,1.66363,1.19965,1.50045,0.008614,0.008614,0.008614
16,5440.47,1.74137,1.31904,1.53944,0.78396,0.68139,0.74225,0.3943,1.63384,1.20497,1.47996,0.008515,0.008515,0.008515
17,5780.38,1.71011,1.28868,1.5199,0.81925,0.6574,0.74894,0.39767,1.67704,1.20376,1.48822,0.008416,0.008416,0.008416
18,6120.47,1.67892,1.26338,1.49102,0.82235,0.69471,0.76392,0.41095,1.64237,1.13084,1.45724,0.008317,0.008317,0.008317
19,6460.32,1.67718,1.24846,1.48977,0.81568,0.70803,0.77395,0.40798,1.63076,1.13358,1.48311,0.008218,0.008218,0.008218
20,6799.56,1.67919,1.22521,1.49911,0.83587,0.69206,0.77053,0.40784,1.67891,1.13386,1.48882,0.008119,0.008119,0.008119
21,7138.85,1.66043,1.21255,1.47902,0.82631,0.69901,0.77474,0.41521,1.65743,1.10782,1.48191,0.00802,0.00802,0.00802
22,7480.13,1.64742,1.19925,1.47742,0.83416,0.71416,0.78548,0.42922,1.60406,1.06274,1.46396,0.007921,0.007921,0.007921
23,7820.5,1.63496,1.17992,1.46485,0.83406,0.72513,0.79462,0.4408,1.5485,1.07573,1.41874,0.007822,0.007822,0.007822
24,8160.14,1.62178,1.17168,1.45747,0.83459,0.71259,0.79725,0.44342,1.59171,1.03396,1.44154,0.007723,0.007723,0.007723
25,8499.84,1.61913,1.15971,1.45672,0.83873,0.73316,0.79469,0.45422,1.53235,1.00883,1.42363,0.007624,0.007624,0.007624
26,8839.73,1.60763,1.14078,1.45022,0.84912,0.71488,0.7992,0.44954,1.54726,1.01445,1.43692,0.007525,0.007525,0.007525
27,9179.25,1.5897,1.11576,1.43775,0.8373,0.72679,0.7983,0.44818,1.55265,1.01975,1.4419,0.007426,0.007426,0.007426
28,9519,1.59805,1.14037,1.446,0.8469,0.73887,0.81196,0.46208,1.53152,0.97783,1.42172,0.007327,0.007327,0.007327
29,9858.85,1.58451,1.10226,1.4294,0.86204,0.73772,0.81612,0.47216,1.51638,0.98656,1.41597,0.007228,0.007228,0.007228
30,10199.6,1.56688,1.09396,1.42169,0.86221,0.73468,0.82059,0.47107,1.51524,0.95667,1.40722,0.007129,0.007129,0.007129
31,10540.5,1.56956,1.09549,1.42463,0.83178,0.74115,0.80748,0.46924,1.50959,0.98871,1.40342,0.00703,0.00703,0.00703
32,10881.2,1.55507,1.07567,1.41585,0.84355,0.74952,0.82019,0.47091,1.52253,0.94674,1.40111,0.006931,0.006931,0.006931
33,11221.4,1.53437,1.06631,1.39439,0.8477,0.75637,0.82184,0.48375,1.47933,0.93054,1.37656,0.006832,0.006832,0.006832
34,11562.5,1.53964,1.04994,1.39813,0.86297,0.74458,0.82346,0.47532,1.53647,0.95288,1.40317,0.006733,0.006733,0.006733
35,11903.1,1.52147,1.04992,1.38765,0.87247,0.76018,0.84036,0.49518,1.46587,0.91492,1.36207,0.006634,0.006634,0.006634
36,12244,1.52563,1.04586,1.38689,0.87731,0.76761,0.84174,0.49832,1.46587,0.9123,1.36928,0.006535,0.006535,0.006535
37,12584.4,1.51983,1.03688,1.3857,0.87265,0.76894,0.84063,0.4909,1.49554,0.9079,1.38887,0.006436,0.006436,0.006436
